Episode no = 880; won: False; Q(s,a) = 60.07774846429778; reward = -476.0; and epsilon = 0.8826666666666667, win percentage = 0.0, 2024-05-06 07:16:47
Episode no = 890; won: False; Q(s,a) = 48.08765683545896; reward = -453.0; and epsilon = 0.8813333333333333, win percentage = 0.0, 2024-05-06 07:17:07
Episode no = 900; won: False; Q(s,a) = 57.37028064086368; reward = -414.0; and epsilon = 0.88, win percentage = 0.0, 2024-05-06 07:17:25
Episode no = 910; won: False; Q(s,a) = 60.98439930185458; reward = -470.0; and epsilon = 0.8786666666666667, win percentage = 0.0, 2024-05-06 07:17:47
Episode no = 920; won: False; Q(s,a) = 60.5237967420299; reward = -408.0; and epsilon = 0.8773333333333333, win percentage = 0.0, 2024-05-06 07:18:01
Episode no = 930; won: False; Q(s,a) = 62.36823745802731; reward = -372.0; and epsilon = 0.876, win percentage = 0.0, 2024-05-06 07:18:18
Episode no = 940; won: False; Q(s,a) = 64.44738523916354; reward = -421.0; and epsilon = 0.8746666666666667, win percentage = 0.0, 2024-05-06 07:18:29
Episode no = 950; won: False; Q(s,a) = 61.626199181439326; reward = -465.0; and epsilon = 0.8733333333333333, win percentage = 0.0, 2024-05-06 07:18:44
Episode no = 960; won: False; Q(s,a) = 56.661829118510155; reward = -471.0; and epsilon = 0.872, win percentage = 0.0, 2024-05-06 07:19:00
Episode no = 970; won: False; Q(s,a) = 63.779281825076694; reward = -350.0; and epsilon = 0.8706666666666667, win percentage = 0.0, 2024-05-06 07:19:14
Episode no = 980; won: False; Q(s,a) = 55.8793349837803; reward = -423.0; and epsilon = 0.8693333333333333, win percentage = 0.0, 2024-05-06 07:19:28
Episode no = 990; won: False; Q(s,a) = 50.35481897036135; reward = -431.0; and epsilon = 0.868, win percentage = 0.0, 2024-05-06 07:19:45
Episode no = 1000; won: False; Q(s,a) = 64.72409062078113; reward = -360.0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-05-06 07:20:07
Episode no = 1010; won: False; Q(s,a) = 61.65086162078456; reward = -358.0; and epsilon = 0.8653333333333333, win percentage = 0.0, 2024-05-06 07:21:11
